Sno,Furnished,Facing,Parking,Ownership,Booking,Buy
1,Fully Furnished,East,Yes,,2000000,10000000
2,Semi Furnished,South,,,1999000,9995000
3,Unfurnished,East,Yes,,1780000,8900000
4,Fully Furnished,,Yes,,1580000,7900000
5,Fully Furnished,North,Yes,,1555550,7777750
6,,West,Yes,,1540000,7700000
7,Semi Furnished,West,,,1500000,7500000
8,Semi Furnished,,,,1470000,7350000
9,Fully Furnished,South,,,1399000,6995000
10,,East,Yes,,1395000,6975000
11,Fully Furnished,North,,,1380000,6900000
12,Unfurnished,East,Yes,,1318000,6590000
13,Fully Furnished,East,Yes,,5397000,26985000
14,Fully Furnished,North,,,23000000,115000000
15,Fully Furnished,East,Yes,,11600000,58000000
16,,South,Yes,,8994000,44970000
17,Semi Furnished,East,Yes,,8600000,43000000
18,Semi Furnished,,Yes,,7799000,38995000
19,Unfurnished,North,Yes,,6780000,33900000
20,Unfurnished,West,Yes,,6000000,30000000
21,Unfurnished,West,Yes,,5990000,29950000
22,Fully Furnished,,,,4999000,24995000
23,Fully Furnished,South,,,4600000,23000000
24,Fully Furnished,East,,,232000,1160000
25,,North,,,399980,1999900
26,,East,,,65000,325000
27,Fully Furnished,East,Yes,,650000,3250000
28,,North,,,559800,2799000
29,Fully Furnished,East,Yes,,460000,2300000
30,Fully Furnished,South,Yes,,439000,2195000
31,Unfurnished,East,,,390000,1950000
32,,,,,380000,1900000
33,Semi Furnished,North,,,369800,1849000
34,,West,Yes,,360000,1800000
35,Fully Furnished,West,Yes,,359000,1795000
36,,,,,305000,1525000
37,Unfurnished,South,Yes,,5000000,25000000
38,Unfurnished,East,Yes,,599000,2995000
39,Semi Furnished,North,Yes,,359600,1798000
40,Fully Furnished,East,Yes,,285000,1425000
41,Fully Furnished,East,Yes,,265000,1325000
42,Fully Furnished,North,Yes,,259000,1295000
43,,,Yes,,470000,2350000
44,Unfurnished,East,Yes,,280000,1400000
45,Unfurnished,South,Yes,,270000,1350000
46,Unfurnished,East,Yes,,250000,1250000
47,Fully Furnished,,Yes,,210000,1050000
48,,North,,,199600,998000
49,Semi Furnished,West,,,185000,925000
50,Fully Furnished,West,Yes,,171000,855000
51,Fully Furnished,,Yes,,169000,845000
52,,South,Yes,,150000,750000
53,Fully Furnished,East,1 parking space,,5380020,269000
54,Fully Furnished,North,In-unit laundry (washer and dryer),,3400020,170000
55,Semi Furnished,East,$328 monthly HOA fee,,7700020,385000
56,Fully Furnished,East,$547 monthly HOA fee,,6400020,320000
57,Fully Furnished,North,$565 monthly HOA fee,,5798020,289900
58,Unfurnished,East,$902 monthly HOA fee,,9999820,499990
59,Unfurnished,East,1 garage space,,38980020,1949000
60,Fully Furnished,East,$47 monthly HOA fee,,28500020,1425000
61,Semi Furnished,East,,,8500020,425000
62,Semi Furnished,South,1 garage spaces (8 total),,17960020,898000
63,Semi Furnished,East,1 garage space,,21998020,1099900
64,Semi Furnished,,Has A/C,,7398020,369900
65,Fully Furnished,North,$698 monthly HOA fee,,15000020,750000
66,Fully Furnished,West,$284 monthly HOA fee,,17000020,850000
67,Unfurnished,West,Has garage,,27980020,1399000
68,Unfurnished,,1 parking space,,27960020,1398000
69,Fully Furnished,South,2 garage spaces,,19980020,999000
70,Fully Furnished,East,2 garage spaces,,35980020,1799000
71,Unfurnished,North,$210 monthly HOA fee,,7200020,360000
72,Fully Furnished,East,2 garage spaces,,9500020,475000
73,Semi Furnished,East,$65 monthly HOA fee,,9400020,470000
74,Semi Furnished,North,$35 monthly HOA fee,,9640020,482000
75,Fully Furnished,East,Yes,,2000000,10000000
76,Semi Furnished,South,,,1999000,9995000
77,Unfurnished,East,Yes,,1780000,8900000
78,Fully Furnished,,Yes,,1580000,7900000
79,Fully Furnished,North,Yes,,1555550,7777750
80,,West,Yes,,1540000,7700000
81,Semi Furnished,West,,,1500000,7500000
82,Semi Furnished,,,,1470000,7350000
83,Fully Furnished,South,,,1399000,6995000
84,,East,Yes,,1395000,6975000
85,Fully Furnished,North,,,1380000,6900000
86,Unfurnished,East,Yes,,1318000,6590000
87,Fully Furnished,East,Yes,,5397000,26985000
88,Fully Furnished,North,,,23000000,115000000
89,Fully Furnished,East,Yes,,11600000,58000000
90,,South,Yes,,8994000,44970000
91,Semi Furnished,East,Yes,,8600000,43000000
92,Semi Furnished,,Yes,,7799000,38995000
93,Unfurnished,North,Yes,,6780000,33900000
94,Unfurnished,West,Yes,,6000000,30000000
95,Unfurnished,West,Yes,,5990000,29950000
96,Fully Furnished,,,,4999000,24995000
97,Fully Furnished,South,,,4600000,23000000
98,Fully Furnished,East,,,232000,1160000
99,,North,,,399980,1999900
100,,East,,,65000,325000
101,Fully Furnished,East,Yes,,650000,3250000
102,,North,,,559800,2799000
103,Fully Furnished,East,Yes,,460000,2300000
104,Fully Furnished,South,Yes,,439000,2195000
105,Unfurnished,East,,,390000,1950000
106,,,,,380000,1900000
107,Semi Furnished,North,,,369800,1849000
108,,West,Yes,,360000,1800000
109,Fully Furnished,West,Yes,,359000,1795000
110,,,,,305000,1525000
111,Unfurnished,South,Yes,,5000000,25000000
112,Unfurnished,East,Yes,,599000,2995000
113,Semi Furnished,North,Yes,,359600,1798000
114,Fully Furnished,East,Yes,,285000,1425000
115,Fully Furnished,East,Yes,,265000,1325000
116,Fully Furnished,North,Yes,,259000,1295000
117,,,Yes,,470000,2350000
118,Unfurnished,East,Yes,,280000,1400000
119,Unfurnished,South,Yes,,270000,1350000
120,Unfurnished,East,Yes,,250000,1250000
121,Fully Furnished,,Yes,,210000,1050000
122,,North,,,199600,998000
123,Semi Furnished,West,,,185000,925000
124,Fully Furnished,West,Yes,,171000,855000
125,Fully Furnished,,Yes,,169000,845000
126,,South,Yes,,150000,750000
127,Fully Furnished,East,1 parking space,,5380020,269000
128,Fully Furnished,North,In-unit laundry (washer and dryer),,3400020,170000
129,Semi Furnished,East,$328 monthly HOA fee,,7700020,385000
130,Fully Furnished,East,$547 monthly HOA fee,,6400020,320000
131,Fully Furnished,North,$565 monthly HOA fee,,5798020,289900
132,Unfurnished,East,$902 monthly HOA fee,,9999820,499990
133,Unfurnished,East,1 garage space,,38980020,1949000
134,Fully Furnished,East,$47 monthly HOA fee,,28500020,1425000
135,Semi Furnished,East,,,8500020,425000
136,Semi Furnished,South,1 garage spaces (8 total),,17960020,898000
137,Semi Furnished,East,1 garage space,,21998020,1099900
138,Semi Furnished,,Has A/C,,7398020,369900
139,Fully Furnished,North,$698 monthly HOA fee,,15000020,750000
140,Fully Furnished,West,$284 monthly HOA fee,,17000020,850000
141,Unfurnished,West,Has garage,,27980020,1399000
142,Unfurnished,,1 parking space,,27960020,1398000
143,Fully Furnished,South,2 garage spaces,,19980020,999000
144,Fully Furnished,East,2 garage spaces,,35980020,1799000
145,Unfurnished,North,$210 monthly HOA fee,,7200020,360000
146,Fully Furnished,East,2 garage spaces,,9500020,475000
147,Semi Furnished,East,$65 monthly HOA fee,,9400020,470000
148,Semi Furnished,North,$35 monthly HOA fee,,9640020,482000
149,Fully Furnished,East,Yes,,2000000,10000000
150,Semi Furnished,South,,,1999000,9995000
151,Unfurnished,East,Yes,,1780000,8900000
152,Fully Furnished,,Yes,,1580000,7900000
153,Fully Furnished,North,Yes,,1555550,7777750
154,,West,Yes,,1540000,7700000
155,Semi Furnished,West,,,1500000,7500000
156,Semi Furnished,,,,1470000,7350000
157,Fully Furnished,South,,,1399000,6995000
158,,East,Yes,,1395000,6975000
159,Fully Furnished,North,,,1380000,6900000
160,Unfurnished,East,Yes,,1318000,6590000
161,Fully Furnished,East,Yes,,5397000,26985000
162,Fully Furnished,North,,,23000000,115000000
163,Fully Furnished,East,Yes,,11600000,58000000
164,,South,Yes,,8994000,44970000
165,Semi Furnished,East,Yes,,8600000,43000000
166,Semi Furnished,,Yes,,7799000,38995000
167,Unfurnished,North,Yes,,6780000,33900000
168,Unfurnished,West,Yes,,6000000,30000000
169,Unfurnished,West,Yes,,5990000,29950000
170,Fully Furnished,,,,4999000,24995000
171,Fully Furnished,South,,,4600000,23000000
172,Fully Furnished,East,,,232000,1160000
173,,North,,,399980,1999900
174,,East,,,65000,325000
175,Fully Furnished,East,Yes,,650000,3250000
176,,North,,,559800,2799000
177,Fully Furnished,East,Yes,,460000,2300000
178,Fully Furnished,South,Yes,,439000,2195000
179,Unfurnished,East,,,390000,1950000
180,,,,,380000,1900000
181,Semi Furnished,North,,,369800,1849000
182,,West,Yes,,360000,1800000
183,Fully Furnished,West,Yes,,359000,1795000
184,,,,,305000,1525000
185,Unfurnished,South,Yes,,5000000,25000000
186,Unfurnished,East,Yes,,599000,2995000
187,Semi Furnished,North,Yes,,359600,1798000
188,Fully Furnished,East,Yes,,285000,1425000
189,Fully Furnished,East,Yes,,265000,1325000
190,Fully Furnished,North,Yes,,259000,1295000
191,,,Yes,,470000,2350000
192,Unfurnished,East,Yes,,280000,1400000
193,Unfurnished,South,Yes,,270000,1350000
194,Unfurnished,East,Yes,,250000,1250000
195,Fully Furnished,,Yes,,210000,1050000
196,,North,,,199600,998000
197,Semi Furnished,West,,,185000,925000
198,Fully Furnished,West,Yes,,171000,855000
199,Fully Furnished,,Yes,,169000,845000
200,,South,Yes,,150000,750000
201,Fully Furnished,East,1 parking space,,5380020,269000
202,Fully Furnished,North,In-unit laundry (washer and dryer),,3400020,170000
203,Semi Furnished,East,$328 monthly HOA fee,,7700020,385000
204,Fully Furnished,East,$547 monthly HOA fee,,6400020,320000
205,Fully Furnished,North,$565 monthly HOA fee,,5798020,289900
206,Unfurnished,East,$902 monthly HOA fee,,9999820,499990
207,Unfurnished,East,1 garage space,,38980020,1949000
208,Fully Furnished,East,$47 monthly HOA fee,,28500020,1425000
209,Semi Furnished,East,,,8500020,425000
210,Semi Furnished,South,1 garage spaces (8 total),,17960020,898000
211,Semi Furnished,East,1 garage space,,21998020,1099900
212,Semi Furnished,,Has A/C,,7398020,369900
213,Fully Furnished,North,$698 monthly HOA fee,,15000020,750000
214,Fully Furnished,West,$284 monthly HOA fee,,17000020,850000
215,Unfurnished,West,Has garage,,27980020,1399000
216,Unfurnished,,1 parking space,,27960020,1398000
217,Fully Furnished,South,2 garage spaces,,19980020,999000
218,Fully Furnished,East,2 garage spaces,,35980020,1799000
219,Unfurnished,North,$210 monthly HOA fee,,7200020,360000
220,Fully Furnished,East,2 garage spaces,,9500020,475000
221,Semi Furnished,East,$65 monthly HOA fee,,9400020,470000
222,Semi Furnished,North,$35 monthly HOA fee,,9640020,482000
223,Fully Furnished,East,Yes,,2000000,10000000
224,Semi Furnished,South,,,1999000,9995000
225,Unfurnished,East,Yes,,1780000,8900000
226,Fully Furnished,,Yes,,1580000,7900000
227,Fully Furnished,North,Yes,,1555550,7777750
228,,West,Yes,,1540000,7700000
229,Semi Furnished,West,,,1500000,7500000
230,Semi Furnished,,,,1470000,7350000
231,Fully Furnished,South,,,1399000,6995000
232,,East,Yes,,1395000,6975000
233,Fully Furnished,North,,,1380000,6900000
234,Unfurnished,East,Yes,,1318000,6590000
235,Fully Furnished,East,Yes,,5397000,26985000
236,Fully Furnished,North,,,23000000,115000000
237,Fully Furnished,East,Yes,,11600000,58000000
238,,South,Yes,,8994000,44970000
239,Semi Furnished,East,Yes,,8600000,43000000
240,Semi Furnished,,Yes,,7799000,38995000
241,Unfurnished,North,Yes,,6780000,33900000
242,Unfurnished,West,Yes,,6000000,30000000
243,Unfurnished,West,Yes,,5990000,29950000
244,Fully Furnished,,,,4999000,24995000
245,Fully Furnished,South,,,4600000,23000000
246,Fully Furnished,East,,,232000,1160000
247,,North,,,399980,1999900
248,,East,,,65000,325000
249,Fully Furnished,East,Yes,,650000,3250000
250,,North,,,559800,2799000
251,Fully Furnished,East,Yes,,460000,2300000
252,Fully Furnished,South,Yes,,439000,2195000
253,Unfurnished,East,,,390000,1950000
254,,,,,380000,1900000
255,Semi Furnished,North,,,369800,1849000
256,,West,Yes,,360000,1800000
257,Fully Furnished,West,Yes,,359000,1795000
258,,,,,305000,1525000
259,Unfurnished,South,Yes,,5000000,25000000
260,Unfurnished,East,Yes,,599000,2995000
261,Semi Furnished,North,Yes,,359600,1798000
262,Fully Furnished,East,Yes,,285000,1425000
263,Fully Furnished,East,Yes,,265000,1325000
264,Fully Furnished,North,Yes,,259000,1295000
265,,,Yes,,470000,2350000
266,Unfurnished,East,Yes,,280000,1400000
267,Unfurnished,South,Yes,,270000,1350000
268,Unfurnished,East,Yes,,250000,1250000
269,Fully Furnished,,Yes,,210000,1050000
270,,North,,,199600,998000
271,Semi Furnished,West,,,185000,925000
272,Fully Furnished,West,Yes,,171000,855000
273,Fully Furnished,,Yes,,169000,845000
274,,South,Yes,,150000,750000
275,Fully Furnished,East,1 parking space,,5380020,269000
276,Fully Furnished,North,In-unit laundry (washer and dryer),,3400020,170000
277,Semi Furnished,East,$328 monthly HOA fee,,7700020,385000
278,Fully Furnished,East,$547 monthly HOA fee,,6400020,320000
279,Fully Furnished,North,$565 monthly HOA fee,,5798020,289900
280,Unfurnished,East,$902 monthly HOA fee,,9999820,499990
281,Unfurnished,East,1 garage space,,38980020,1949000
282,Fully Furnished,East,$47 monthly HOA fee,,28500020,1425000
283,Semi Furnished,East,,,8500020,425000
284,Semi Furnished,South,1 garage spaces (8 total),,17960020,898000
285,Semi Furnished,East,1 garage space,,21998020,1099900
286,Semi Furnished,,Has A/C,,7398020,369900
287,Fully Furnished,North,$698 monthly HOA fee,,15000020,750000
288,Fully Furnished,West,$284 monthly HOA fee,,17000020,850000
289,Unfurnished,West,Has garage,,27980020,1399000
290,Unfurnished,,1 parking space,,27960020,1398000
291,Fully Furnished,South,2 garage spaces,,19980020,999000
292,Fully Furnished,East,2 garage spaces,,35980020,1799000
293,Unfurnished,North,$210 monthly HOA fee,,7200020,360000
294,Fully Furnished,East,2 garage spaces,,9500020,475000
295,Semi Furnished,East,$65 monthly HOA fee,,9400020,470000
296,Semi Furnished,North,$35 monthly HOA fee,,9640020,482000
297,Fully Furnished,East,Yes,,2000000,10000000
298,Semi Furnished,South,,,1999000,9995000
299,Unfurnished,East,Yes,,1780000,8900000
300,Fully Furnished,,Yes,,1580000,7900000
301,Fully Furnished,North,Yes,,1555550,7777750
302,,West,Yes,,1540000,7700000
303,Semi Furnished,West,,,1500000,7500000
304,Semi Furnished,,,,1470000,7350000
305,Fully Furnished,South,,,1399000,6995000
306,,East,Yes,,1395000,6975000
307,Fully Furnished,North,,,1380000,6900000
308,Unfurnished,East,Yes,,1318000,6590000
309,Fully Furnished,East,Yes,,5397000,26985000
310,Fully Furnished,North,,,23000000,115000000
311,Fully Furnished,East,Yes,,11600000,58000000
312,,South,Yes,,8994000,44970000
313,Semi Furnished,East,Yes,,8600000,43000000
314,Semi Furnished,,Yes,,7799000,38995000
315,Unfurnished,North,Yes,,6780000,33900000
316,Unfurnished,West,Yes,,6000000,30000000
317,Unfurnished,West,Yes,,5990000,29950000
318,Fully Furnished,,,,4999000,24995000
319,Fully Furnished,South,,,4600000,23000000
320,Fully Furnished,East,,,232000,1160000
321,,North,,,399980,1999900
322,,East,,,65000,325000
323,Fully Furnished,East,Yes,,650000,3250000
324,,North,,,559800,2799000
325,Fully Furnished,East,Yes,,460000,2300000
326,Fully Furnished,South,Yes,,439000,2195000
327,Unfurnished,East,,,390000,1950000
328,,,,,380000,1900000
329,Semi Furnished,North,,,369800,1849000
330,,West,Yes,,360000,1800000
331,Fully Furnished,West,Yes,,359000,1795000
332,,,,,305000,1525000
333,Unfurnished,South,Yes,,5000000,25000000
334,Unfurnished,East,Yes,,599000,2995000
335,Semi Furnished,North,Yes,,359600,1798000
336,Fully Furnished,East,Yes,,285000,1425000
337,Fully Furnished,East,Yes,,265000,1325000
338,Fully Furnished,North,Yes,,259000,1295000
339,,,Yes,,470000,2350000
340,Unfurnished,East,Yes,,280000,1400000
341,Unfurnished,South,Yes,,270000,1350000
342,Unfurnished,East,Yes,,250000,1250000
343,Fully Furnished,,Yes,,210000,1050000
344,,North,,,199600,998000
345,Semi Furnished,West,,,185000,925000
346,Fully Furnished,West,Yes,,171000,855000
347,Fully Furnished,,Yes,,169000,845000
348,,South,Yes,,150000,750000
349,Fully Furnished,East,1 parking space,,5380020,269000
350,Fully Furnished,North,In-unit laundry (washer and dryer),,3400020,170000
351,Semi Furnished,East,$328 monthly HOA fee,,7700020,385000
352,Fully Furnished,East,$547 monthly HOA fee,,6400020,320000
353,Fully Furnished,North,$565 monthly HOA fee,,5798020,289900
354,Unfurnished,East,$902 monthly HOA fee,,9999820,499990
355,Unfurnished,East,1 garage space,,38980020,1949000
356,Fully Furnished,East,$47 monthly HOA fee,,28500020,1425000
357,Semi Furnished,East,,,8500020,425000
358,Semi Furnished,South,1 garage spaces (8 total),,17960020,898000
359,Semi Furnished,East,1 garage space,,21998020,1099900
360,Semi Furnished,,Has A/C,,7398020,369900
361,Fully Furnished,North,$698 monthly HOA fee,,15000020,750000
362,Fully Furnished,West,$284 monthly HOA fee,,17000020,850000
363,Unfurnished,West,Has garage,,27980020,1399000
364,Unfurnished,,1 parking space,,27960020,1398000
365,Fully Furnished,South,2 garage spaces,,19980020,999000
366,Fully Furnished,East,2 garage spaces,,35980020,1799000
367,Unfurnished,North,$210 monthly HOA fee,,7200020,360000
368,Fully Furnished,East,2 garage spaces,,9500020,475000
369,Semi Furnished,East,$65 monthly HOA fee,,9400020,470000
370,Semi Furnished,North,$35 monthly HOA fee,,9640020,482000
